m2, sinTheta, a2, b3, b4, alpha, betaoverH, LHCflag, Tstar
170.0, 0.01, 0.471238898038, 394.144214319, 2.34572251468, 0.0181098023578, 898.624946429, 0, 97.8484033376
170.0, 0.01, 0.471238898038, 394.144214319, 2.25189361409, 0.0317663870422, 2601.3927943, 0, 84.5466126216
170.0, 0.01, 0.769690200129, -394.144214319, 3.54539202933, 0.0107545997604, 920.308984491, 0, 107.207669815
170.0, 0.01, 0.769690200129, -394.144214319, 3.39124454979, 0.0170723954084, 821.110866625, 0, 96.7685926881
170.0, 0.01, 0.769690200129, -394.144214319, 3.23709707026, 0.0318501453915, 639.487787151, 0, 83.3861804041
170.0, 0.01, 0.769690200129, -394.144214319, 3.08294959072, 0.0870654852745, 847.035143493, 0, 64.7239965078
170.0, 0.01, 0.769690200129, 262.762809546, 1.67551608191, 0.0188212094263, 280.804053685, 0, 97.1518388224
170.0, 0.01, 0.769690200129, 262.762809546, 1.60849543863, 0.237137654912, 37.8607017554, 0, 54.1346400746
170.0, 0.01, 0.769690200129, 394.144214319, 3.538689965, 0.0132664685718, 905.425006291, 0, 102.000870748
170.0, 0.01, 0.769690200129, 394.144214319, 3.37784042114, 0.0221649366892, 789.783158063, 0, 90.6032882413
170.0, 0.01, 0.769690200129, 394.144214319, 3.21699087727, 0.047158190057, 696.92408009, 0, 75.2608658725
170.0, 0.01, 0.769690200129, 394.144214319, 3.05614133341, 0.175165421301, 3084.56236992, 0, 53.6976745875
170.0, 0.01, 0.769690200129, 525.525619093, 6.21522637489, 0.0123839403586, 1595.31206982, 0, 90.4829228262
170.0, 0.01, 1.06814150222, -394.144214319, 5.0768137282, 0.013182867317, 1389.56242105, 0, 100.081761982
170.0, 0.01, 1.06814150222, -394.144214319, 4.73835947966, 0.0224871785869, 967.326541111, 0, 88.1527233035
170.0, 0.01, 1.06814150222, -394.144214319, 4.39990523111, 0.0592782807382, 700.273591787, 0, 69.2556443545
170.0, 0.01, 1.06814150222, -262.762809546, 2.81486701762, 0.0104816229964, 849.738657752, 0, 106.784714882
170.0, 0.01, 1.06814150222, -262.762809546, 2.68082573106, 0.0169571598112, 517.496280066, 0, 96.4859979593
170.0, 0.01, 1.06814150222, -262.762809546, 2.54678444451, 0.0366637740055, 282.81642109, 0, 81.0679661296
170.0, 0.01, 1.06814150222, -131.381404773, 1.17286125734, 0.0150237138527, 340.336584313, 0, 100.718002953
170.0, 0.01, 1.06814150222, -131.381404773, 1.12594680705, 0.040536077508, 80.6671581147, 0, 81.410540376
170.0, 0.01, 1.06814150222, 131.381404773, 1.23317983629, 0.0121459448943, 423.412066064, 0, 104.62677901
170.0, 0.01, 1.06814150222, 131.381404773, 1.17956332167, 0.0247276833269, 213.599052491, 0, 90.3321247046
170.0, 0.01, 1.06814150222, 262.762809546, 2.81486701762, 0.013270962889, 670.45605433, 0, 101.31216594
170.0, 0.01, 1.06814150222, 262.762809546, 2.67412366674, 0.0234881908652, 411.883807519, 0, 89.3707456534
170.0, 0.01, 1.06814150222, 262.762809546, 2.53338031585, 0.0742577669033, 154.337990031, 0, 68.3059412014
170.0, 0.01, 1.06814150222, 394.144214319, 5.41526797675, 0.0103689704536, 2029.50880975, 0, 105.265490425
170.0, 0.01, 1.06814150222, 394.144214319, 5.0768137282, 0.015092732498, 1341.96838701, 0, 96.5420407383
170.0, 0.01, 1.06814150222, 394.144214319, 4.73835947966, 0.0270275516821, 949.111528383, 0, 83.8514586338
170.0, 0.01, 1.06814150222, 394.144214319, 4.39990523111, 0.0830173432819, 761.754131197, 0, 63.2163934995
170.0, 0.01, 1.36659280431, -394.144214319, 7.10753921948, 0.0132316079467, 7713.62633176, 0, 97.5691416231
170.0, 0.01, 1.36659280431, -394.144214319, 6.76908497094, 0.0176313460867, 2275.137929, 0, 91.0951691628
170.0, 0.01, 1.36659280431, -394.144214319, 6.43063072239, 0.0256423146462, 1568.17066899, 0, 83.0077532932
170.0, 0.01, 1.36659280431, -394.144214319, 6.09217647384, 0.0452220239025, 1124.74157106, 0, 71.9113668167
170.0, 0.01, 1.36659280431, -394.144214319, 5.7537222253, 0.126128669703, 1578.24989546, 0, 55.3304366563
170.0, 0.01, 1.36659280431, -262.762809546, 4.39990523111, 0.0132195080583, 1010.67282246, 0, 99.7334089554
170.0, 0.01, 1.36659280431, -262.762809546, 4.06145098256, 0.0233410893956, 566.345685906, 0, 87.5439237483
170.0, 0.01, 1.36659280431, -131.381404773, 2.46635967258, 0.0108467468165, 762.017172628, 0, 104.847070581
170.0, 0.01, 1.36659280431, -131.381404773, 2.31221219304, 0.016817619165, 521.78192998, 0, 95.6008291322
170.0, 0.01, 1.36659280431, -131.381404773, 2.1580647135, 0.0361884490657, 249.771150427, 0, 80.5248792584
170.0, 0.01, 1.36659280431, 0.0, 0.91148074856, 0.0117425263544, 519.818199802, 0, 103.900927336
170.0, 0.01, 1.36659280431, 0.0, 0.857864233939, 0.0172436117568, 315.676749133, 0, 96.1461789177
170.0, 0.01, 1.36659280431, 0.0, 0.804247719318, 0.033293627244, 91.4687343262, 0, 83.4668963072
170.0, 0.01, 1.36659280431, 131.381404773, 2.53338031585, 0.0115226874715, 787.309706056, 0, 103.202473293
170.0, 0.01, 1.36659280431, 131.381404773, 2.25189361409, 0.0304761004278, 302.247682068, 0, 83.3935522619
170.0, 0.01, 1.36659280431, 262.762809546, 4.73835947966, 0.0105008732527, 1556.82253225, 0, 104.551246116
170.0, 0.01, 1.36659280431, 262.762809546, 4.39990523111, 0.0154285104079, 940.885859606, 0, 95.9512433526
170.0, 0.01, 1.36659280431, 394.144214319, 7.44599346803, 0.0114547940333, 9009.29517213, 0, 100.359007929
170.0, 0.01, 1.36659280431, 394.144214319, 7.10753921948, 0.0147234516689, 3281.3149508, 0, 94.6721650425
