muA2,lambdaS,lambdaA,lambdaSA,kappabar,kappaSA,scale,vS,T_crit,T_nuc,rel_dof,order,delta_p,delta_rho,alpha,alpha_inf,beta_per_H
0.00017043626845683946,0.0405565814157785,0.7415974130814688,0.40128556068276955,1.1330013280697295,0.005983822775850508,2.3,1.0,0.61812807425221,0.5691766748292201,97.25,1.267547517169291,0.0003319076398777092,0.0044198265060740455,0.0013162814010829198,0.0011487971595316587,2498.752446970837
0.0006516128527407088,0.011876532714256396,0.12327287676782787,0.8224173053364385,0.874741767393714,0.008979329197757844,2.3,1.0,0.3808320046541039,0.31602213699616616,88.25,2.965506809897304,0.0005242496614930921,0.002770549352778014,0.009567592373939943,0.011044341722441094,1679.2012449483916
0.00029709642880585416,0.4020352870628344,0.48080968669094765,1.5003238261769614,1.2807551078939476,0.19445579615988653,2.3,1.0,0.8035771440664614,0.7096954606714899,98.25,1.2284728985830942,0.003869650641955852,0.03223933307420285,0.0039317590011402875,0.004303267396964253,1239.5138390989055
0.3295227898764298,0.005728890046771016,0.017893852132182312,0.6987594082553301,1.267060716499575,0.00863876320524,2.3,1.0,0.2949513522786401,0.1948565382059636,88.25,4.569321391692794,0.00019147436706155158,0.00035599180748187363,0.008505245780748525,0.02647322699511268,1834.0231423576483
0.00024959016304996687,0.00592849190398289,0.8428123165062393,2.3024078981691316,1.3746942395179045,0.002127368231190346,2.3,1.0,2.8402888956641372,2.297265109262373,108.75,1.9036820733362894,1.2009981175880107,5.354569413746992,0.005373686550404962,0.009784181228588136,637.8554191225933
0.0014800106927404964,0.032610137583721874,0.11831196946779868,1.0678592604962995,1.1339417749069558,0.001296534561009148,2.3,1.0,0.4298291719298677,0.3165493606355151,88.25,2.9848275199920677,0.0012189494168979064,0.003792288549080634,0.013008954876160467,0.014890884850118101,517.991945859785
0.16734733719947664,0.06280499999209671,0.0019332539062236569,1.67215256516175,0.8471203573170353,0.012904688653498534,2.3,1.0,0.6401838064315508,0.625449756293357,97.25,1.0871863847964347,0.0003534609429455271,0.015697291334164726,0.0032061726674573066,0.0035829799148309853,12560.241109495337
5.183804569473914e-05,0.0390512669843363,0.0015328621633225285,0.5728612068209987,1.0722510113588501,0.001154825719717122,2.3,1.0,0.5334130105371796,0.4753352117436515,97.25,1.7066542054605596,0.0006209589868481583,0.005722683290191703,0.0035037383173823957,0.0026338120759913596,1571.2415753789678
0.19809476034696813,0.00461112151014924,0.001453255512292215,1.8739409150257635,0.7056245150067779,0.8617873300230878,2.3,1.0,0.36402593037488046,0.360230213499511,88.25,0.6360967178182211,2.0012308759577175e-05,0.001969146842939794,0.0040277671620316405,0.0037105829710249987,30010.285602613574
0.4321047537402056,0.3212407765269748,0.016018385920742263,1.858918369085998,1.1168208983185384,0.0022882067959390457,2.3,1.0,0.9499433310857367,0.9464664599292274,108.75,0.4462190569964888,9.967982874198311e-05,0.027854582682654005,0.0009702150034413867,0.0009732033400236043,78154.0019088811
0.12532913149754632,0.005265572600285336,0.03983997506005682,0.48022681922364663,0.7742602660752351,0.015322782225651187,2.3,1.0,0.3697749295156471,0.3468882622242411,88.25,2.29879826046519,9.790130529368059e-05,0.0016109318521730937,0.0038320003941793067,0.0043114186379292225,10255.101329895462
