gd,LamS,scale,vS,T_crit,T_nuc,rel_dof,order,delta_p,delta_rho,alpha,beta_per_H
0.10760132742126183,0.0001150164989096518,2.3,1.0,0.14488930471580572,0.1393618710980932,90.25,4.040552943073905,5.046955237787828e-07,1.6033637267263414e-05,0.0014316289714631472,104666.07968185616
0.8420225426352022,0.04583078349204287,2.3,1.0,0.41144949422999644,0.36730117533649825,90.25,2.453242247580457,0.0011524678429190392,0.010419143893208381,0.01928044540128472,2349.848578133579
0.12265560232959716,0.0004700029009378152,2.3,1.0,0.25179631594060947,0.2490451604760536,90.25,1.4361882228592011,2.54640109509114e-07,2.873554838069177e-05,0.00025158304024702966,153568.70372714283
0.6103077231181508,0.016606771657758212,2.3,1.0,0.3344800368209037,0.2959891937256501,90.25,2.9818252506268066,0.0004471191623520122,0.0038439003667296683,0.01686720014693332,2551.124089496364
0.1011733124402382,7.294719468956761e-05,2.3,1.0,0.12345381608962191,0.1174398878661602,90.25,5.2225067478801765,4.758362624126281e-07,1.1681949069521362e-05,0.0020683645972278753,134558.01549882296
0.31963132620967316,0.0060245941149858016,2.3,1.0,0.3542523559274978,0.3454579014935008,90.25,1.62856302157023,1.8205118049480218e-05,0.0008414267795312028,0.0019898031153292297,12562.330704403601
0.6520849607957167,0.007819580606046445,2.3,1.0,0.22094824360663898,0.09722447034855455,90.25,10.27893011093954,0.0005183092789075929,0.0006309964953303479,0.2378476704694909,598.2803706031425
0.2541959866009561,0.0009196531765486658,2.3,1.0,0.18250002618409403,0.16088724452256428,90.25,5.182051265489694,2.3871774959399186e-05,0.00021179328633858072,0.010646332685244137,7215.998055769481
0.5768645506071045,0.006725502357098227,2.3,1.0,0.23203918775411658,0.1549292496028957,90.25,6.368502034455456,0.00041754892517657875,0.0009662542924996372,0.05648486114261556,2051.2454976174013
0.6358396239989175,0.006224313966885082,2.3,1.0,0.2001595922844464,0.0180639192610509,79.75,55.358605013060945,0.00038991826168397413,0.00039013436536286007,139.65519354917234,138.4855779334071
0.7584295271934582,0.05360867507974578,2.3,1.0,0.47523961238885004,0.4520931263391378,96.25,1.7304409786014545,0.0005552505779301657,0.01191100578008987,0.009004458283874207,5229.705667667049
0.3487749091916643,0.0018229094133674953,2.3,1.0,0.19328849178050822,0.15699489479601322,90.25,5.880944273375919,7.981799926166152e-05,0.00039934757984988294,0.02214028643037816,3744.4012221927537
0.3161681789857276,0.006440023511520799,2.3,1.0,0.36857247034183965,0.36105506137135873,90.25,1.4745964419591442,1.452631947619458e-05,0.0008179732885309696,0.0016211368235214969,14137.510380356813
0.21601781436162104,0.0018934923040672751,2.3,1.0,0.29115818070151517,0.2845503403955274,90.25,1.779845996288815,4.208976135542091e-06,0.00022028383519209944,0.001131671789619383,19229.709381638037
0.24457198686990445,0.0006513812511517716,2.3,1.0,0.16128055810074246,0.13747303815945466,90.25,6.355112175186115,2.1980236249956287e-05,0.00015044204821076826,0.014186439604896451,7490.43956302138
0.7605323647179325,0.07158788908639083,2.3,1.0,0.53717970484894,0.5214497328913184,99.25,1.3593044987940952,0.0003911209861502396,0.014172448044235314,0.005870648391620396,8244.108061051102
