m a2 Tstar vstaroverTstar alpha betaoverH
110.0 1.3 28.3645657394 8.4942154311 0.184769573701 49.0023584957
110.0 1.4 20.0018052465 12.2338671427 0.515997144642 26.2055184078
110.0 1.5 19.1724393428 12.7735750585 0.563589429533 28.3791996416
120.0 0.6 61.7925660335 2.68178625096 0.0173733971473 193.199242461
120.0 0.7 65.947495883 1.99088905867 0.00897850628017 648.083241944
120.0 0.8 39.8713557354 5.75549521122 0.0885378546164 46.8848328997
120.0 0.9 33.9227216007 6.97575011184 0.138886447034 33.6501938594
120.0 1.0 39.9518162062 5.73211587724 0.0805510617797 69.2498344192
120.0 1.1 25.1075538858 9.67455046019 0.323163989116 20.1702226907
120.0 1.2 22.476722754 10.8546400056 0.440826671778 17.7195454805
120.0 1.3 5.81901433575 42.2751300832 70.082529492 2.18933970152
120.0 1.4 20.6289769154 11.8545669038 0.529534984979 18.8731355676
120.0 1.5 28.9191906952 8.31828572023 0.177673146099 46.9155581339
120.0 1.6 17.5784478024 13.9514145252 0.826669889573 17.6685989128
130.0 0.7 70.941919138 1.1832157097 0.00335856685595 2055.956967
130.0 0.8 68.903563537 1.50557886523 0.00535142881649 1614.95412595
130.0 0.9 49.2981553955 4.27682306384 0.0442874500721 103.127012659
130.0 1.0 41.1167453752 5.52979188711 0.0778292290086 57.1417733657
130.0 1.1 37.275322256 6.24399559584 0.0973682455195 110.022972046
130.0 1.2 45.1022806458 4.8666662718 0.0542439781005 111.178330534
130.0 1.3 34.318298877 6.87719175261 0.121913910935 46.3778265717
130.0 1.4 26.3320866069 9.20010224091 0.265055063979 24.6867590142
130.0 1.5 26.4927429656 9.14020376502 0.250629010044 27.9265318098
130.0 1.6 23.8008583381 10.2283412027 0.338812666701 23.893004849
140.0 0.7 73.273776752 0.549766393731 0.000902969057816 109567.764591
140.0 0.8 70.533076413 1.18812316096 0.00336893712185 1789.45029893
140.0 0.9 51.2640050875 4.01604031227 0.0399449456574 84.5991818357
140.0 1.0 44.2450323759 5.01853686339 0.0645924454007 55.7106376361
140.0 1.1 57.8648198025 3.1057080211 0.0216256886551 284.123170256
140.0 1.2 35.5610644069 6.60378902929 0.119456187393 37.1923878433
140.0 1.3 34.7646698131 6.77827527967 0.122340895558 45.3570216732
140.0 1.4 35.1144225402 6.69775342967 0.116973919726 43.1138568734
140.0 1.5 33.4361603916 7.08514737414 0.127344074311 70.3513269345
140.0 1.6 32.5822540335 7.29471002085 0.133332381196 83.4401238479
140.0 1.7 7.6543768564 32.1380323461 24.9165024943 2.79427570753
150.0 0.9 72.5043124205 0.326232373087 0.000325956363076 352018.303962
150.0 1.0 50.257800796 4.14947332945 0.0431288527849 67.088844178
150.0 1.1 60.8058362455 2.70996472008 0.0168906676964 309.841901198
150.0 1.2 44.9773803618 4.89891921734 0.0597735874602 64.4094446503
150.0 1.3 42.3838292653 5.31034198423 0.070463548273 58.403407913
150.0 1.4 37.0434091208 6.29017105958 0.104570797738 40.5290709417
150.0 1.5 38.0034823219 6.09557855877 0.0940566443299 49.2158898557
150.0 1.6 36.1903993278 6.46330616254 0.106644659443 46.0230897644
150.0 1.7 32.8063306439 7.24004783036 0.140337817932 37.1867949181
160.0 1.0 64.6290757925 2.20236940192 0.0115784623344 206.395081697
160.0 1.1 54.4520653085 3.59004050429 0.0314593261751 92.8066251124
160.0 1.2 56.4284678875 3.31540942017 0.0260389530384 160.684221913
160.0 1.3 45.1143349275 4.87811544498 0.0598398842251 57.8545982229
160.0 1.4 41.392033899 5.47962287993 0.0772070705516 46.9859191463
160.0 1.5 42.7613523242 5.24436632171 0.0654488652098 119.693215404
160.0 1.6 38.450533429 6.0100269981 0.0914114105652 53.0638940374
160.0 1.7 37.5379773896 6.18709920328 0.0955868551179 60.0935973573
160.0 1.8 35.3261828814 6.65031152075 0.115029122453 41.0109562862
170.0 1.1 71.703575931 0.322159684508 0.000323988254008 374183.443709
170.0 1.2 61.734065782 2.58534369927 0.016046991184 202.831355976
170.0 1.3 59.81158067 2.84772425494 0.0191455097375 219.534073567
170.0 1.4 48.6236879554 4.36030368973 0.04661455386 72.3634127966
170.0 1.5 44.446923303 4.97803522848 0.0618102732725 57.9525422829
170.0 1.6 44.8259910602 4.91414660981 0.0588520244954 65.1675343309
170.0 1.7 42.8598108038 5.22601646623 0.0667587009706 59.961202577
170.0 1.8 39.330931683 5.8424069598 0.0860229901268 47.6769199417
170.0 1.9 13.8921820283 17.6891063261 3.12003806134 4.5313337267
180.0 1.2 71.2627445175 0.319885476687 0.000322492052985 390410.304097
180.0 1.3 68.3428305615 1.246159066 0.00366500889114 1234.36495735
180.0 1.4 57.989581908 3.10058965911 0.0230122573801 152.700364447
180.0 1.5 54.391336091 3.56975167286 0.0303225754237 120.281692071
180.0 1.6 48.8755127734 4.31850161815 0.0451104712831 76.5170909216
180.0 1.7 29.9938473507 8.00445708726 0.22150822999 14.3652298475
180.0 1.8 45.4704206308 4.81138584084 0.0556588705095 68.4193047888
180.0 1.9 41.3382039625 5.48291755021 0.0747156503537 51.0429950229
180.0 2.0 40.6548297869 5.60067891548 0.0774003481848 52.2060319068
190.0 1.3 70.910855884 0.841272356063 0.0022141256411 30481.9188151
190.0 1.4 69.9665108815 0.705855441093 0.00117640654943 5260.60410029
190.0 1.5 65.5012200605 1.88335794182 0.00901574607031 680.032589342
190.0 1.6 54.170708816 3.59980621007 0.0311395654923 103.689932113
190.0 1.7 50.642690466 4.07124011585 0.0394468939959 100.610701884
190.0 1.8 47.9439191319 4.44814339047 0.0478311589712 70.4721982825
190.0 1.9 45.7938467796 4.76380818257 0.0548257748681 66.8546217982
190.0 2.0 23.4278398034 10.4017343488 0.500438491793 8.88842040104
190.0 2.1 43.6710939868 5.09064593315 0.0623577206343 61.0564395775
200.0 1.6 59.56087072 2.87746689946 0.0202830997736 141.731418679
200.0 1.7 56.6990303745 3.2582097221 0.0255237071885 125.11633548
200.0 1.8 57.6399744735 3.10817301077 0.0227681459584 166.028905303
200.0 1.9 49.9354974088 4.16488894258 0.0416856480531 76.9099498882
200.0 2.0 26.0820997601 9.29866342169 0.365670814861 9.27914844795
200.0 2.1 46.7556714058 4.61602424927 0.0509353320515 67.9340539503
200.0 2.2 44.8134006016 4.91068789795 0.0579773431046 61.3596362968
210.0 1.7 66.2694556185 1.71805304476 0.00765339078969 623.45986995
210.0 1.8 61.8754382485 2.44584976339 0.0153349803614 313.972254226
210.0 1.9 55.761222844 3.37331879407 0.027274267762 119.194740362
210.0 2.0 54.5618238605 3.5255297457 0.0293978364657 117.049165837
210.0 2.1 50.8190895325 4.03586956962 0.0386638119799 84.1074774632
210.0 2.2 32.4542756229 7.33734835949 0.172644156749 15.2428542922
210.0 2.3 47.7936313386 4.45955327165 0.0469096895527 73.0035676755
220.0 1.7 69.155709448 1.1069929455 0.00393323919971 20228.1744056
220.0 1.8 68.895519379 0.305651721473 0.000310416491762 613398.321989
220.0 1.9 68.5437124855 0.302969276787 0.000307456298049 754794.430256
220.0 2.0 62.1635443975 2.35689437306 0.0145939144138 437.387281246
220.0 2.1 55.040912194 3.46214074956 0.0286694608007 112.606844473
220.0 2.2 56.9057391935 3.18118343713 0.0236523279652 117.304104749
220.0 2.3 51.5241415425 3.93223213303 0.0363591918801 89.720539275
220.0 2.4 49.6325631886 4.19467068846 0.0411810931294 83.4961300793
220.0 2.5 25.1966288395 9.64270413108 0.399167332064 8.99193286836
230.0 1.9 68.3937130535 1.22089238282 0.00483332361838 14198.8714085
230.0 2.1 63.192063119 2.18353866276 0.0127631247616 544.917554736
230.0 2.2 57.6431937805 3.09698277094 0.0233754164425 158.56354874
230.0 2.3 54.852772256 3.47948521379 0.0288982763964 110.097559026
230.0 2.4 54.86874821 3.46451118718 0.028151441551 111.170526011
230.0 2.5 52.29373974 3.81921820839 0.0340205930931 94.2432742873
230.0 2.6 51.33851686 3.94693848583 0.0354258603716 128.187415113
240.0 2.1 67.4874763415 0.298023336926 0.000302876929958 444047.824872
240.0 2.2 66.870832937 0.668019519692 0.0010425698346 5049.43687395
240.0 2.3 60.7291518635 2.59889755014 0.0179932786932 316.723038441
240.0 2.4 59.81547174 2.73201948002 0.0200639348878 339.206083939
240.0 2.5 55.396844864 3.39398379929 0.0274491654587 112.166155309
240.0 2.6 53.6013413055 3.63831389757 0.0310934466416 80.8249059995
240.0 2.7 53.2963078175 3.67178774691 0.0311980534433 68.3840343761
250.0 2.2 67.2066871085 1.40423943301 0.00648016895986 9561.87305747
250.0 2.3 66.6465030185 1.48927915201 0.00732801979534 10629.283154
250.0 2.4 64.900722992 1.03750699523 0.00248316550472 1308.40652314
250.0 2.5 59.122228206 2.85923405003 0.0218591701788 249.624334522
250.0 2.6 57.1471677615 3.14372629541 0.0242919192075 183.793608896
250.0 2.7 56.498785181 3.22317307207 0.0248572269052 152.604155027
250.0 2.8 59.7385605545 2.56349457668 0.0183343393743 532.912811946
250.0 2.9 60.339515742 1.7350316739 0.0072193044941 671.917884138
260.0 2.3 67.3222745785 1.35719690804 0.00606494867052 7957.87572235
260.0 2.4 66.286019804 1.547544434 0.00793791047565 8697.92176392
260.0 2.6 63.9409395125 1.08094478322 0.00271901129911 1200.94035089
260.0 2.7 58.392030464 2.95960672418 0.0236630500383 242.22576659
260.0 2.8 59.2291607565 2.78876889171 0.0216375934857 407.720988537
260.0 2.9 58.817462107 2.82839799679 0.022396815382 485.422810516
270.0 2.5 66.3795425305 1.52463311951 0.00770734715386 6180.23921652
270.0 2.6 65.545010435 1.66639875827 0.00925784462413 6492.65368017
270.0 2.8 63.752164369 0.924441224597 0.00200866135481 1987.25524271
270.0 2.9 60.7944038395 2.45838862726 0.0174537642574 1652.39822206
280.0 2.7 66.4110443095 1.4533432474 0.00704026669881 7118.95266722
280.0 2.9 64.3940899625 0.273837232738 0.000271116673118 1287881.79924
